Stock quote and option quote for SPY on 12/1/25 08:32:23

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
679.16,Q,-4.23,679.16,P,679.17,Q,640 x 280,"2,691,686",678.81,679.47,678.76

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
40,1.08%,<empty>,1.831,Q,9/19/25,689.70,481.80,"1,024,182,000",1.009

1 DEC 25  (0)  100 (Weeklys)

2 DEC 25  (1)  100 (Weeklys)

3 DEC 25  (2)  100 (Weeklys)

4 DEC 25  (3)  100 (Weeklys)

5 DEC 25  (4)  100 (Weeklys)

8 DEC 25  (7)  100 (Weeklys)

9 DEC 25  (8)  100 (Weeklys)

10 DEC 25  (9)  100 (Weeklys)

11 DEC 25  (10)  100 (Weeklys)

12 DEC 25  (11)  100 (Weeklys)

15 DEC 25  (14)  100 (Weeklys)

19 DEC 25  (18)  100

26 DEC 25  (25)  100 (Weeklys)

31 DEC 25  (30)  100 (Quarterlys)

2 JAN 26  (32)  100 (Weeklys)

9 JAN 26  (39)  100 (Weeklys)

16 JAN 26  (46)  100

30 JAN 26  (60)  100 (Weeklys)

20 FEB 26  (81)  100

27 FEB 26  (88)  100 (Weeklys)

20 MAR 26  (109)  100

31 MAR 26  (120)  100 (Quarterlys)

30 APR 26  (150)  100 (EOM)

29 MAY 26  (179)  100 (Weeklys)

18 JUN 26  (199)  100

30 JUN 26  (211)  100 (Quarterlys)
,,Volume,Open.Int,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,,
,,0,6,124.24,J,125.17,S,30 JUN 26,574,9.99,W,10.06,I,<empty>,4,,
,,0,57,123.37,E,124.20,W,30 JUN 26,575,10.07,B,10.17,I,0,218,,
,,<empty>,1,122.44,S,123.29,C,30 JUN 26,576,10.22,B,10.24,W,<empty>,177,,
,,<empty>,1,121.57,S,122.56,W,30 JUN 26,577,10.33,B,10.40,B,<empty>,4,,
,,<empty>,7,120.57,E,121.53,E,30 JUN 26,578,10.41,I,10.45,W,<empty>,32,,
,,<empty>,2,119.62,S,120.75,W,30 JUN 26,579,10.52,I,10.59,I,0,21,,
,,0,97,118.87,W,119.80,W,30 JUN 26,580,10.66,D,10.67,W,0,240,,
,,<empty>,0,117.68,T,119.08,C,30 JUN 26,581,10.74,I,10.82,B,0,3,,
,,0,18,117.13,S,118.16,S,30 JUN 26,582,10.88,B,10.96,B,0,5,,
,,<empty>,4,116.41,J,117.18,C,30 JUN 26,583,10.93,I,11.06,W,0,9,,
,,0,2,115.24,S,116.47,J,30 JUN 26,584,11.07,I,11.14,I,0,21,,
,,0,161,114.66,W,115.48,Z,30 JUN 26,585,11.20,M,11.27,I,0,177,,
,,<empty>,1,113.70,C,114.79,T,30 JUN 26,586,11.32,W,11.39,I,0,25,,
,,0,0,112.97,J,113.99,Z,30 JUN 26,587,11.43,W,11.53,W,0,20,,
,,0,2,112.11,S,112.79,E,30 JUN 26,588,11.54,B,11.62,W,0,35,,
,,0,2,110.95,T,112.04,C,30 JUN 26,589,11.67,W,11.75,J,<empty>,17,,
,,0,663,110.39,E,111.17,W,30 JUN 26,590,11.76,S,11.83,D,0,418,,
,,<empty>,4,109.39,C,110.38,I,30 JUN 26,591,11.91,W,12.00,W,0,9,,
,,<empty>,6,108.85,J,109.82,S,30 JUN 26,592,12.05,I,12.13,N,<empty>,11,,
,,0,4,106.59,Z,108.67,W,30 JUN 26,593,12.20,B,12.24,W,0,6,,
,,<empty>,4,106.72,C,107.85,C,30 JUN 26,594,12.26,B,12.36,I,0,12,,
,,0,830,106.12,E,106.89,T,30 JUN 26,595,12.43,C,12.50,W,0,454,,
,,0,5,105.15,W,106.12,C,30 JUN 26,596,12.59,W,12.76,W,0,48,,
,,0,3,104.32,E,105.28,E,30 JUN 26,597,12.67,I,12.80,Z,<empty>,7,,
,,0,17,103.44,E,104.23,T,30 JUN 26,598,12.80,B,12.93,I,0,28,,
,,<empty>,2,102.45,E,103.63,E,30 JUN 26,599,12.97,W,13.05,I,0,42,,
,,0,"1,121",101.84,E,102.57,C,30 JUN 26,600,13.05,C,13.14,I,0,"1,135",,
,,<empty>,5,99.85,Z,101.88,C,30 JUN 26,601,13.22,S,13.29,W,<empty>,4,,
,,0,15,98.99,C,100.91,C,30 JUN 26,602,13.39,D,13.47,D,<empty>,43,,
,,0,25,99.25,S,100.15,E,30 JUN 26,603,13.50,S,13.63,I,<empty>,4,,
,,0,4,98.40,C,99.34,W,30 JUN 26,604,13.68,B,13.73,I,<empty>,2,,
,,0,439,97.59,S,98.42,Z,30 JUN 26,605,13.76,I,13.84,I,0,139,,
,,0,2,96.62,C,97.48,W,30 JUN 26,606,13.94,B,14.06,W,<empty>,8,,
,,<empty>,7,95.78,W,96.71,W,30 JUN 26,607,14.05,B,14.13,I,0,55,,
,,0,19,95.09,C,96.01,C,30 JUN 26,608,14.24,W,14.28,W,0,64,,
,,0,3,93.92,T,95.17,C,30 JUN 26,609,14.42,I,14.50,I,0,19,,
,,0,116,93.25,I,94.11,C,30 JUN 26,610,14.50,W,14.60,I,0,294,,
,,0,14,92.47,Z,93.48,Z,30 JUN 26,611,14.72,W,14.81,B,<empty>,2,,
,,<empty>,11,91.49,B,92.64,W,30 JUN 26,612,14.87,W,14.95,B,0,72,,
,,<empty>,4,91.01,B,91.85,E,30 JUN 26,613,15.05,W,15.13,I,<empty>,36,,
,,0,6,90.11,E,91.11,J,30 JUN 26,614,15.12,I,15.29,I,0,36,,
,,0,85,89.12,C,90.12,T,30 JUN 26,615,15.29,S,15.46,I,0,"5,856",,
,,0,14,88.51,J,89.38,W,30 JUN 26,616,15.48,B,15.57,B,0,36,,
,,<empty>,4,87.65,J,88.48,C,30 JUN 26,617,15.64,I,15.76,W,0,10,,
,,0,19,86.73,Z,87.71,C,30 JUN 26,618,15.81,W,15.89,W,0,19,,
,,0,12,85.80,W,87.05,J,30 JUN 26,619,16.03,S,16.12,B,<empty>,6,,
,,0,257,85.29,S,85.98,T,30 JUN 26,620,16.11,C,16.24,W,0,"2,215",,
,,0,45,84.12,B,85.21,E,30 JUN 26,621,16.37,B,16.46,I,0,90,,
,,0,100,83.48,W,84.56,E,30 JUN 26,622,16.51,I,16.62,W,0,119,,
,,0,61,82.70,E,83.77,J,30 JUN 26,623,16.72,B,16.79,N,<empty>,53,,
,,0,65,81.85,E,82.98,N,30 JUN 26,624,16.87,W,16.99,I,<empty>,33,,
,,0,139,81.17,E,81.81,E,30 JUN 26,625,16.99,S,17.08,W,0,427,,
,,0,6,80.08,C,81.10,C,30 JUN 26,626,17.17,I,17.27,I,0,68,,
,,0,11,79.62,J,80.44,W,30 JUN 26,627,17.35,W,17.45,W,0,34,,
,,<empty>,22,78.80,B,79.64,C,30 JUN 26,628,17.59,I,17.71,W,0,121,,
,,0,19,77.72,I,78.90,W,30 JUN 26,629,17.79,I,17.85,W,<empty>,1,,
,,0,171,77.26,E,77.83,E,30 JUN 26,630,17.94,I,18.04,W,0,308,,
,,0,7,76.40,J,77.25,T,30 JUN 26,631,18.15,W,18.24,W,0,40,,
,,0,24,75.35,E,76.34,C,30 JUN 26,632,18.35,W,18.47,W,<empty>,254,,
,,<empty>,14,74.68,N,75.59,T,30 JUN 26,633,18.58,I,18.59,W,0,5,,
,,0,18,73.93,W,74.83,W,30 JUN 26,634,18.77,I,18.82,I,0,20,,
,,0,89,73.04,E,73.82,E,30 JUN 26,635,18.90,I,19.00,I,0,726,,
,,0,35,72.37,Z,73.26,W,30 JUN 26,636,19.09,W,19.31,I,<empty>,39,,
,,0,32,71.39,E,72.54,B,30 JUN 26,637,19.37,S,19.40,B,0,272,,
,,0,25,70.61,E,71.73,E,30 JUN 26,638,19.53,I,19.69,N,<empty>,25,,
,,0,11,69.93,B,70.92,W,30 JUN 26,639,19.80,I,19.90,W,<empty>,5,,
,,0,194,69.45,W,70.10,I,30 JUN 26,640,19.93,W,20.04,E,0,"5,189",,
,,<empty>,7,68.50,Z,69.23,E,30 JUN 26,641,20.20,I,20.29,W,0,55,,
,,0,26,67.82,J,68.71,C,30 JUN 26,642,20.47,W,20.55,W,0,51,,
,,0,33,67.06,J,67.78,W,30 JUN 26,643,20.63,I,20.73,I,0,66,,
,,0,40,66.27,E,67.09,E,30 JUN 26,644,20.79,I,20.90,W,<empty>,23,,
,,0,185,65.42,D,66.25,E,30 JUN 26,645,21.07,W,21.18,I,0,331,,
,,0,"1,429",61.84,W,62.44,W,30 JUN 26,650,22.18,W,22.30,I,0,"1,140",,
,,0,349,58.03,N,58.66,T,30 JUN 26,655,23.44,I,23.53,C,0,"1,077",,
,,0,621,54.50,W,55.07,W,30 JUN 26,660,24.83,I,24.91,E,0,892,,
,,0,851,50.74,E,51.43,C,30 JUN 26,665,26.18,I,26.22,W,0,668,,
,,0,"2,077",47.39,E,48.03,T,30 JUN 26,670,27.67,W,27.73,I,0,327,,
,,0,300,44.09,C,44.63,W,30 JUN 26,675,29.31,W,29.45,I,0,633,,
,,0,581,40.70,E,41.28,N,30 JUN 26,680,30.98,D,31.11,N,0,254,,
,,0,"1,129",37.63,C,38.11,E,30 JUN 26,685,32.67,W,32.82,I,0,316,,
,,0,581,34.63,W,34.71,W,30 JUN 26,690,34.76,W,34.87,J,0,58,,
,,0,983,31.78,W,31.92,W,30 JUN 26,695,36.70,W,36.87,I,0,49,,
,,0,"1,302",28.81,I,29.09,I,30 JUN 26,700,38.94,A,39.10,W,0,651,,
,,0,590,26.20,W,26.31,W,30 JUN 26,705,41.49,I,41.65,I,0,684,,
,,0,508,23.73,W,23.80,I,30 JUN 26,710,43.80,T,44.58,W,0,24,,
,,0,"5,167",21.35,W,21.29,I,30 JUN 26,715,46.75,E,47.35,T,0,37,,
,,0,469,19.11,W,19.21,W,30 JUN 26,720,49.55,C,50.13,C,0,"1,027",,
,,0,"1,564",17.04,B,17.14,B,30 JUN 26,725,52.98,T,53.39,W,0,24,,
,,0,331,15.05,I,15.22,C,30 JUN 26,730,56.18,N,57.15,E,0,44,,
,,0,109,13.39,E,13.44,I,30 JUN 26,735,59.99,E,60.84,W,0,"1,998",,
,,0,372,11.79,W,11.84,B,30 JUN 26,740,63.82,C,64.64,E,0,7,,
,,0,231,10.35,W,10.43,W,30 JUN 26,745,67.79,W,68.64,W,<empty>,59,,
,,0,833,9.07,W,9.15,I,30 JUN 26,750,70.87,S,73.02,J,0,9,,
,,0,126,7.91,W,7.93,D,30 JUN 26,755,75.32,S,77.48,J,<empty>,6,,
,,0,210,6.84,W,6.95,N,30 JUN 26,760,79.91,S,82.19,S,<empty>,0,,
,,0,177,5.97,W,6.05,I,30 JUN 26,765,84.69,S,86.82,J,<empty>,0,,
,,0,311,5.15,I,5.24,C,30 JUN 26,770,89.51,S,91.70,J,<empty>,0,,
,,<empty>,144,4.47,I,4.51,I,30 JUN 26,775,94.37,S,96.51,J,<empty>,0,,
,,0,347,3.85,W,3.90,W,30 JUN 26,780,99.29,S,101.44,J,<empty>,0,,
,,0,111,3.32,I,3.37,W,30 JUN 26,785,104.35,T,106.34,J,<empty>,0,,
,,0,189,2.86,C,2.90,S,30 JUN 26,790,109.18,S,111.07,J,<empty>,0,,
,,0,557,2.46,E,2.49,I,30 JUN 26,795,114.16,S,116.34,J,<empty>,0,,
,,0,"1,460",2.11,W,2.14,I,30 JUN 26,800,119.13,S,121.04,J,<empty>,1,,
,,0,400,1.81,Z,1.85,I,30 JUN 26,805,124.08,A,126.04,J,<empty>,0,,
,,0,753,1.57,W,1.60,P,30 JUN 26,810,129.25,T,131.36,J,<empty>,0,,
,,0,"1,150",1.35,N,1.38,I,30 JUN 26,815,134.23,S,136.31,S,<empty>,0,,
,,0,452,1.16,E,1.19,I,30 JUN 26,820,139.18,D,141.31,S,<empty>,0,,
,,0,326,1.01,E,1.03,W,30 JUN 26,825,144.18,D,146.09,J,<empty>,0,,
,,0,275,.87,I,.90,I,30 JUN 26,830,149.31,D,151.10,S,<empty>,0,,
,,0,634,.75,I,.78,I,30 JUN 26,835,154.41,D,157.80,M,<empty>,0,,
,,0,"1,004",.65,I,.68,N,30 JUN 26,840,159.30,N,161.06,S,<empty>,0,,
,,0,"1,091",.58,W,.59,W,30 JUN 26,845,164.23,S,166.24,S,<empty>,0,,
,,0,186,.50,J,.52,N,30 JUN 26,850,169.12,S,171.31,S,<empty>,0,,
,,0,50,.28,X,.46,N,30 JUN 26,855,175.28,J,176.04,J,<empty>,0,,
,,0,46,.39,I,.40,N,30 JUN 26,860,179.29,D,181.04,J,<empty>,0,,
,,0,25,.34,I,.35,N,30 JUN 26,865,184.18,D,186.04,J,<empty>,0,,
,,0,"2,349",.30,W,.32,J,30 JUN 26,870,189.12,S,191.16,J,<empty>,0,,

18 SEP 26  (291)  100

30 SEP 26  (303)  100 (Quarterlys)

18 DEC 26  (382)  100

15 JAN 27  (410)  100

19 MAR 27  (473)  100

17 JUN 27  (563)  100 (Weeklys)

17 DEC 27  (746)  100

21 JAN 28  (781)  100
