Stock quote and option quote for SPY on 12/1/25 10:00:29

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
681.53,D,-1.86,681.51,Q,681.53,Q,320 x 280,"17,840,712",678.81,681.86,678.74

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
97,1.07%,<empty>,1.831,Q,9/19/25,689.70,481.80,"1,024,182,000",1.009

1 DEC 25  (0)  100 (Weeklys)
,,Volume,Open.Int,%Change,Delta,Gamma,Impl Vol,Intrinsic,Net Chng,Prob.ITM,ROR,Rho,Theta,Vega,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,%Change,Delta,Gamma,Impl Vol,Intrinsic,Net Chng,Prob.ITM,ROR,Rho,Theta,Vega,,
,,<empty>,4,<empty>,1.00,.00,--,44.53,0,100.00%,<empty>,.00,.00,.00,44.42,I,44.54,I,1 DEC 25,637,0,C,.01,I,0,"1,064",0.00%,.00,.00,33.26%,0,0,0.16%,0.00%,.00,-.01,.00,,
,,1,0,<empty>,1.00,.00,--,43.53,<empty>,100.00%,<empty>,.00,.00,.00,43.42,E,43.51,E,1 DEC 25,638,0,Q,.01,I,0,669,0.00%,.00,.00,32.30%,0,0,0.17%,0.00%,.00,-.01,.00,,
,,0,50,0.00%,.95,.01,135.58%,42.53,0,74.02%,<empty>,.00,-.06,.02,42.58,E,42.59,E,1 DEC 25,639,0,P,.01,I,0,"1,013",0.00%,.00,.00,31.34%,0,0,0.17%,0.00%,.00,-.01,.00,,
,,0,25,0.00%,.96,.01,131.51%,41.53,0,73.97%,<empty>,.00,-.02,.02,41.53,M,41.56,M,1 DEC 25,640,0,S,.01,I,2,"5,621",-66.67%,.00,.00,30.38%,0,-.02,0.18%,0.00%,.00,-.01,.00,,
,,0,24,0.00%,.92,.01,135.65%,40.53,0,72.51%,<empty>,.00,-.20,.04,40.61,M,40.84,C,1 DEC 25,641,0,U,.01,M,0,568,0.00%,.00,.00,29.42%,0,0,0.18%,0.00%,.00,-.01,.00,,
,,<empty>,11,<empty>,1.00,.00,--,39.53,0,100.00%,<empty>,.00,.00,.00,39.44,E,39.54,I,1 DEC 25,642,0,S,.01,M,0,500,0.00%,.00,.00,28.46%,0,0,0.19%,0.00%,.00,-.01,.00,,
,,<empty>,59,<empty>,1.00,.00,--,38.53,0,100.00%,<empty>,.00,.00,.00,38.44,H,38.51,E,1 DEC 25,643,0,A,.01,I,0,435,0.00%,.00,.00,27.49%,0,0,0.19%,0.00%,.00,-.01,.00,,
,,0,39,0.00%,.95,.01,122.48%,37.53,0,72.38%,<empty>,.00,-.02,.02,37.52,E,37.58,E,1 DEC 25,644,0,U,.01,I,0,"3,091",0.00%,.00,.00,26.53%,0,0,0.20%,0.00%,.00,-.01,.00,,
,,0,124,0.00%,1.00,.00,--,36.53,0,100.00%,<empty>,.00,.00,.00,36.43,H,36.51,E,1 DEC 25,645,0,A,.01,I,87,"11,933",-50.00%,.00,.00,25.56%,0,-.01,0.21%,0.00%,.00,-.01,.00,,
,,0,111,0.00%,1.00,.00,--,35.53,0,100.00%,<empty>,.00,.00,.00,35.43,E,35.59,E,1 DEC 25,646,0,Q,.01,N,28,"3,254",0.00%,.00,.00,24.59%,0,0,0.21%,0.00%,.00,-.01,.00,,
,,0,109,0.00%,1.00,.00,--,34.53,0,100.00%,<empty>,.00,.00,.00,34.43,E,34.51,I,1 DEC 25,647,0,D,.01,N,35,984,0.00%,.00,.00,23.62%,0,0,0.22%,0.00%,.00,-.01,.00,,
,,<empty>,108,<empty>,1.00,.00,--,33.53,0,100.00%,<empty>,.00,.00,.00,33.43,M,33.59,E,1 DEC 25,648,0,U,.01,I,1,733,-66.67%,.00,.00,22.65%,0,-.02,0.23%,0.00%,.00,-.01,.00,,
,,0,392,0.00%,1.00,.00,--,32.53,0,100.00%,<empty>,.00,.00,.00,32.44,C,32.60,E,1 DEC 25,649,0,N,.01,N,0,"1,721",0.00%,.00,.00,21.67%,0,0,0.24%,0.00%,.00,-.01,.00,,
,,0,450,0.00%,1.00,.00,--,31.53,0,100.00%,<empty>,.00,.00,.00,31.43,M,31.51,E,1 DEC 25,650,0,X,.01,I,9,"2,986",-50.00%,.00,.00,20.70%,0,-.01,0.25%,0.00%,.00,-.01,.00,,
,,<empty>,346,<empty>,1.00,.00,--,30.53,0,100.00%,<empty>,.00,.00,.00,30.44,E,30.60,E,1 DEC 25,651,.01,X,.01,M,0,965,0.00%,.00,.00,21.22%,0,0,0.47%,0.00%,.00,-.01,.00,,
,,0,293,0.00%,.91,.02,108.58%,29.53,0,67.48%,<empty>,.00,-.18,.04,29.66,E,29.75,E,1 DEC 25,652,0,Q,.01,I,32,650,-50.00%,.00,.00,18.74%,0,-.01,0.27%,0.00%,.00,-.01,.00,,
,,0,354,0.00%,.92,.02,105.39%,28.53,0,67.00%,<empty>,.00,-.15,.04,28.66,M,28.70,I,1 DEC 25,653,0,D,.01,C,28,"3,669",0.00%,.00,.00,17.75%,0,0,0.28%,0.00%,.00,-.01,.00,,
,,0,499,0.00%,1.00,.00,--,27.53,0,100.00%,<empty>,.00,.00,.00,27.44,X,27.55,D,1 DEC 25,654,0,T,.01,X,78,"1,913",-50.00%,.00,.00,16.76%,0,-.01,0.30%,0.00%,.00,-.01,.00,,
,,1,632,+23.77%,.94,.02,96.78%,26.53,+4.96,66.32%,<empty>,.00,-.05,.02,26.44,X,26.71,H,1 DEC 25,655,.01,N,.02,A,7,"1,990",-75.00%,-.01,.00,17.79%,0,-.03,0.77%,0.00%,.00,-.02,.01,,
,,0,241,0.00%,1.00,.00,--,25.53,0,100.00%,<empty>,.00,.00,.00,25.43,H,25.58,X,1 DEC 25,656,.01,U,.01,X,3,"2,852",-33.33%,-.01,.00,15.95%,0,-.01,0.60%,0.00%,.00,-.01,.01,,
,,0,643,0.00%,1.00,.00,--,24.53,0,100.00%,<empty>,.00,.00,.00,24.48,I,24.56,I,1 DEC 25,657,.01,U,.01,X,95,"1,181",-66.67%,-.01,.00,14.88%,0,-.02,0.64%,0.00%,.00,-.01,.01,,
,,0,293,0.00%,.95,.03,88.41%,23.53,0,64.19%,<empty>,.00,-.03,.02,23.52,E,23.60,C,1 DEC 25,658,0,Z,.01,X,1,743,-66.67%,.00,.00,12.77%,0,-.02,0.38%,0.00%,.00,.00,.00,,
,,0,473,0.00%,.93,.03,87.50%,22.53,0,63.06%,<empty>,.00,-.07,.03,22.60,E,22.60,E,1 DEC 25,659,0,D,.01,X,1,915,-33.33%,.00,.00,11.76%,0,-.01,0.41%,0.00%,.00,.00,.00,,
,,0,"1,294",0.00%,1.00,.00,--,21.53,0,100.00%,<empty>,.00,.00,.00,21.43,E,21.49,I,1 DEC 25,660,.01,D,.02,E,66,"4,260",-50.00%,-.01,.01,12.17%,0,-.02,1.05%,0.00%,.00,-.01,.01,,
,,0,587,0.00%,.93,.03,81.88%,20.53,0,61.27%,<empty>,.00,-.06,.03,20.43,E,20.75,E,1 DEC 25,661,0,S,.01,X,4,"1,424",-75.00%,.00,.00,9.72%,0,-.03,0.49%,0.00%,.00,.00,.00,,
,,0,"1,770",0.00%,.94,.03,78.39%,19.53,0,60.36%,<empty>,.00,-.04,.02,19.43,C,19.71,B,1 DEC 25,662,.01,N,.02,E,2,"2,602",-50.00%,-.01,.01,9.91%,0,-.02,1.28%,0.00%,.00,-.01,.01,,
,,1,"3,002",-12.79%,1.00,.00,--,18.53,-2.44,100.00%,<empty>,.00,.00,.00,18.43,E,18.50,X,1 DEC 25,663,.01,N,.02,E,7,"1,439",-50.00%,-.01,.01,8.75%,0,-.02,1.43%,0.00%,.00,-.01,.01,,
,,0,"1,742",0.00%,1.00,.00,--,17.53,0,100.00%,<empty>,.00,.00,.00,17.42,M,17.54,E,1 DEC 25,664,.01,W,.02,W,19,"1,688",0.00%,-.02,.02,7.62%,0,0,1.68%,0.00%,.00,-.02,.01,,
,,0,"3,347",0.00%,.93,.04,70.96%,16.53,0,56.69%,<empty>,.00,-.06,.03,16.44,E,16.73,E,1 DEC 25,665,.01,W,.02,W,143,"6,182",-60.00%,-.02,.02,6.40%,0,-.03,1.94%,0.00%,.00,-.02,.02,,
,,0,"1,880",0.00%,.93,.04,68.23%,15.53,0,55.30%,<empty>,.00,-.06,.03,15.43,E,15.74,E,1 DEC 25,666,.01,W,.02,N,219,"1,775",-50.00%,-.02,.03,5.15%,0,-.03,2.33%,0.00%,.00,-.02,.02,,
,,0,927,0.00%,.95,.05,64.38%,14.53,0,53.87%,<empty>,.00,-.03,.02,14.52,T,14.60,E,1 DEC 25,667,.01,N,.02,N,124,"1,978",-60.00%,-.03,.05,3.85%,0,-.03,2.92%,0.00%,.00,-.01,.02,,
,,0,"1,623",0.00%,.90,.05,64.24%,13.53,0,52.05%,<empty>,.00,-.11,.04,13.51,S,13.76,S,1 DEC 25,668,.02,W,.03,N,281,"3,151",-75.00%,-.06,.12,2.81%,0,-.06,6.12%,0.00%,.00,-.03,.04,,
,,1,"1,255",-12.19%,.88,.05,62.74%,12.53,-1.75,50.25%,<empty>,.00,-.16,.04,12.61,S,12.77,S,1 DEC 25,669,.02,W,.03,N,728,"1,870",-75.00%,-.12,.48,1.20%,0,-.06,12.42%,0.00%,.00,-.03,.07,,
,,16,"2,294",-7.82%,.90,.06,58.05%,11.53,-.99,48.34%,<empty>,.00,-.09,.04,11.61,S,11.63,S,1 DEC 25,670,.03,W,.04,N,200,"9,813",-55.56%,-.98,.00,0.20%,0,-.05,100.00%,0.01%,-.02,-.53,.00,,
,,1,"1,186",-28.66%,.90,.06,54.95%,10.53,-3.39,46.18%,<empty>,.00,-.09,.04,10.61,N,10.62,S,1 DEC 25,671,.04,W,.05,N,194,"1,874",-63.64%,.00,.00,0.20%,0,-.07,100.00%,0.01%,.00,.00,-10.00,,
,,6,"1,658",-19.79%,.90,.07,51.21%,9.53,-2.29,43.71%,<empty>,.00,-.06,.03,9.54,B,9.64,S,1 DEC 25,672,.05,W,.06,N,469,"4,214",-61.54%,.00,.00,0.20%,0,-.08,100.00%,0.01%,.00,.00,-10.00,,
,,50,797,-22.36%,.90,.08,48.00%,8.53,-2.39,40.97%,<empty>,.00,-.06,.03,8.56,S,8.61,S,1 DEC 25,673,.07,W,.08,N,403,"4,419",-53.33%,-.98,.00,0.20%,0,-.08,100.00%,0.01%,-.02,-3.53,.00,,
,,4,"1,286",-31.45%,.88,.09,45.54%,7.53,-2.89,38.06%,<empty>,.00,-.08,.04,7.57,S,7.65,S,1 DEC 25,674,.09,W,.10,W,583,"4,582",-52.63%,-.98,.00,0.20%,0,-.10,100.00%,0.01%,-.02,-4.53,.00,,
,,119,"3,117",-17.89%,.84,.09,43.04%,6.53,-1.49,34.89%,<empty>,.00,-.12,.05,6.62,Q,6.67,T,1 DEC 25,675,.12,C,.13,W,"2,187","12,534",-40.91%,.00,.00,0.19%,0,-.09,100.00%,0.02%,.00,.00,-10.00,,
,,111,"2,057",-17.55%,.81,.10,40.43%,5.53,-1.26,31.41%,<empty>,.00,-.16,.05,5.66,N,5.72,S,1 DEC 25,676,.17,W,.18,W,"2,356","3,547",-39.29%,-.98,.00,0.20%,0,-.11,100.00%,0.03%,-.02,-6.53,.00,,
,,198,"2,581",-14.92%,.76,.11,37.89%,4.53,-.87,27.68%,<empty>,.00,-.23,.06,4.74,A,4.78,C,1 DEC 25,677,.24,U,.25,C,"3,119","7,672",-28.57%,-.98,.00,0.20%,0,-.10,100.00%,0.04%,-.02,-7.53,.00,,
,,663,"1,751",-25.32%,.70,.12,35.11%,3.53,-1.38,23.55%,<empty>,.00,-.31,.07,3.82,S,3.87,N,1 DEC 25,678,.33,W,.34,W,"4,383","6,716",-27.91%,.00,.00,0.20%,0,-.12,100.00%,0.05%,.00,.00,-10.00,,
,,"1,407","2,338",-34.96%,.63,.12,32.57%,2.53,-1.65,19.35%,<empty>,.00,-.46,.08,2.98,S,3.00,E,1 DEC 25,679,.47,W,.48,W,"5,308","4,295",-17.54%,-.98,.00,0.20%,0,-.10,100.00%,0.07%,-.02,-9.53,.00,,
,,"5,407","4,594",-44.07%,.54,.12,29.99%,1.53,-1.71,15.04%,<empty>,.00,-.67,.09,2.19,W,2.20,E,1 DEC 25,680,.68,W,.69,N,"4,841","12,613",-9.72%,.00,.00,0.19%,0,-.07,100.00%,0.10%,.00,.00,-10.00,,
,,"9,575","5,448",-50.33%,.43,.12,27.55%,.53,-1.52,10.92%,<empty>,.00,-.97,.09,1.50,N,1.50,W,1 DEC 25,681,.98,W,.99,P,"2,978","10,303",+5.32%,-.98,.00,0.20%,0,+.05,100.00%,0.14%,-.02,-11.53,.00,,
,,"8,407","4,772",-59.23%,.32,.10,25.34%,0,-1.38,7.34%,<empty>,.00,-.94,.08,.94,P,.94,D,1 DEC 25,682,1.42,U,1.43,U,"1,092","10,062",+14.52%,-.98,.00,0.20%,.47,+.18,100.00%,0.21%,-.02,-12.06,.00,,
,,"8,114","6,358",-69.89%,.21,.08,23.34%,0,-1.23,4.48%,<empty>,.00,-.53,.07,.52,W,.53,U,1 DEC 25,683,2.00,N,2.03,P,200,"8,074",+21.82%,-.98,.00,0.19%,1.47,+.36,100.00%,0.30%,-.02,-12.06,.00,,
,,"4,254","6,499",-78.40%,.12,.05,21.94%,0,-.98,2.64%,<empty>,.00,-.27,.05,.27,W,.28,W,1 DEC 25,684,2.73,C,2.78,C,144,"1,985",+30.48%,-.98,.00,0.20%,2.47,+.64,100.00%,0.40%,-.02,-12.06,.00,,
,,"5,250","9,510",-84.52%,.07,.03,20.91%,0,-.71,1.50%,<empty>,.00,-.14,.04,.13,W,.14,M,1 DEC 25,685,3.59,N,3.63,D,210,"2,559",+36.00%,-1.00,.00,0.20%,3.47,+.99,100.00%,0.53%,.00,.00,-44.70,,
,,"2,187","6,942",-88.89%,.03,.02,20.22%,0,-.48,0.85%,<empty>,.00,-.07,.02,.06,W,.07,N,1 DEC 25,686,4.52,Q,4.55,P,179,359,+26.30%,-1.00,.00,0.20%,4.47,+.91,100.00%,0.67%,.00,.00,-54.70,,
,,"1,832","5,173",-91.18%,.02,.01,20.04%,0,-.31,0.54%,<empty>,.00,-.04,.02,.03,W,.04,N,1 DEC 25,687,5.50,B,5.56,B,7,451,+59.68%,-1.00,.00,0.19%,5.47,+2.59,100.00%,0.81%,.00,.00,-64.70,,
,,652,"8,484",-90.00%,.01,.00,19.46%,0,-.18,0.28%,<empty>,.00,-.01,.01,.01,N,.02,N,1 DEC 25,688,6.52,S,6.54,B,1,172,+38.38%,-1.00,.00,0.19%,6.47,+1.90,100.00%,0.96%,.00,.00,-74.70,,
,,55,"11,778",-91.67%,.01,.00,20.51%,0,-.11,0.28%,<empty>,.00,-.02,.01,.01,W,.02,N,1 DEC 25,689,7.48,E,7.54,N,0,120,0.00%,-.98,.00,0.20%,7.47,0,100.00%,1.10%,-.02,-12.06,.00,,
,,89,"12,465",-87.50%,.01,.00,21.64%,0,-.07,0.29%,<empty>,.00,-.02,.01,.01,N,.02,E,1 DEC 25,690,8.46,E,8.53,E,10,146,+49.55%,-.98,.00,0.20%,8.47,+3.30,100.00%,1.25%,-.02,-12.06,.00,,
,,38,"3,252",-80.00%,.00,.00,20.50%,0,-.04,0.11%,<empty>,.00,.00,.00,0,A,.01,X,1 DEC 25,691,9.45,S,9.52,S,0,35,0.00%,-1.00,.00,0.20%,9.47,0,100.00%,1.39%,.00,.00,-104.70,,
,,2,"3,347",-75.00%,.00,.00,21.47%,0,-.03,0.11%,<empty>,.00,.00,.00,0,S,.01,X,1 DEC 25,692,10.26,E,10.58,H,<empty>,1,<empty>,-1.00,.00,--,10.47,0,100.00%,1.53%,.00,.00,.00,,
,,6,"2,263",-66.67%,.00,.00,22.45%,0,-.02,0.12%,<empty>,.00,.00,.00,0,I,.01,I,1 DEC 25,693,11.43,E,11.37,B,1,1,<empty>,-1.00,.00,--,11.47,<empty>,100.00%,1.67%,.00,.00,.00,,
,,2,901,-50.00%,.00,.00,23.42%,0,-.01,0.12%,<empty>,.00,.00,.00,0,S,.01,X,1 DEC 25,694,12.44,T,12.56,H,<empty>,1,<empty>,-.98,.00,0.20%,12.47,0,100.00%,1.83%,-.02,-12.06,.00,,
,,2,"4,957",-50.00%,.00,.00,24.39%,0,-.01,0.12%,<empty>,.00,.00,.00,0,U,.01,E,1 DEC 25,695,13.45,E,13.58,E,0,4,0.00%,-.98,.00,0.20%,13.47,0,100.00%,1.98%,-.02,-12.06,.00,,
,,0,"2,374",0.00%,.00,.00,25.34%,0,0,0.12%,<empty>,.00,.00,.00,0,N,.01,E,1 DEC 25,696,14.27,E,14.57,Z,1,0,<empty>,-1.00,.00,--,14.47,<empty>,100.00%,2.12%,.00,.00,.00,,
,,0,"1,309",0.00%,.00,.00,26.29%,0,0,0.12%,<empty>,.00,.00,.00,0,Q,.01,M,1 DEC 25,697,15.20,X,15.58,T,<empty>,0,<empty>,-1.00,.00,--,15.47,0,100.00%,2.26%,.00,.00,.00,,
,,0,861,0.00%,.00,.00,27.23%,0,0,0.12%,<empty>,.00,.00,.00,0,P,.01,M,1 DEC 25,698,16.16,I,16.58,T,<empty>,1,<empty>,-1.00,.00,--,16.47,0,100.00%,2.40%,.00,.00,.00,,
,,0,373,0.00%,.00,.00,28.16%,0,0,0.12%,<empty>,.00,.00,.00,0,Q,.01,A,1 DEC 25,699,17.16,H,17.58,H,<empty>,0,<empty>,-1.00,.00,--,17.47,0,100.00%,2.55%,.00,.00,.00,,
