Stock quote and option quote for SPY on 12/1/25 09:23:32

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
680.22,K,-3.17,680.21,P,680.22,Q,760 x 160,"13,108,100",678.81,681.86,678.74

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
80,1.08%,<empty>,1.831,Q,9/19/25,689.70,481.80,"1,024,182,000",1.009

1 DEC 25  (0)  100 (Weeklys)
,,Volume,Open.Int,%Change,Delta,Gamma,Impl Vol,Intrinsic,Net Chng,Prob.ITM,ROR,Rho,Theta,Vega,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,%Change,Delta,Gamma,Impl Vol,Intrinsic,Net Chng,Prob.ITM,ROR,Rho,Theta,Vega,,
,,0,43,0.00%,1.00,.00,--,60.22,0,100.00%,<empty>,.00,.00,.00,60.09,E,60.18,E,1 DEC 25,620,0,U,.01,E,0,"2,579",0.00%,.00,.00,47.47%,0,0,0.12%,0.00%,.00,.00,.00,,
,,0,38,0.00%,1.00,.00,--,55.22,0,100.00%,<empty>,.00,.00,.00,55.13,B,55.29,X,1 DEC 25,625,0,T,.01,M,3,"1,685",0.00%,.00,.00,42.74%,0,0,0.13%,0.00%,.00,.00,.00,,
,,<empty>,0,<empty>,1.00,.00,--,54.22,0,100.00%,<empty>,.00,.00,.00,54.09,E,54.33,E,1 DEC 25,626,0,Q,.01,M,0,"2,029",0.00%,.00,.00,41.79%,0,0,0.13%,0.00%,.00,.00,.00,,
,,<empty>,0,<empty>,.96,.01,156.34%,53.22,0,77.23%,<empty>,.00,-.01,.02,53.17,E,53.29,X,1 DEC 25,627,0,N,.01,A,0,"1,829",0.00%,.00,.00,40.85%,0,0,0.14%,0.00%,.00,.00,.00,,
,,<empty>,1,<empty>,.95,.01,157.39%,52.22,0,76.46%,<empty>,.00,-.08,.03,52.18,B,52.42,D,1 DEC 25,628,0,Q,.01,I,0,"10,296",0.00%,.00,.00,39.90%,0,0,0.14%,0.00%,.00,.00,.00,,
,,<empty>,6,<empty>,1.00,.00,0.00%,51.22,0,100.00%,<empty>,.00,.00,.00,51.07,M,51.37,C,1 DEC 25,629,0,J,.01,I,0,"1,557",0.00%,.00,.00,38.95%,0,0,0.14%,0.00%,.00,.00,.00,,
,,<empty>,14,<empty>,1.00,.00,--,50.22,0,100.00%,<empty>,.00,.00,.00,50.13,E,50.28,H,1 DEC 25,630,0,N,.01,I,0,"6,635",0.00%,.00,.00,38.01%,0,0,0.14%,0.00%,.00,-.01,.00,,
,,9,5,+12.46%,1.00,.00,--,49.22,+5.51,100.00%,<empty>,.00,.00,.00,49.16,E,49.27,M,1 DEC 25,631,0,U,.01,E,0,961,0.00%,.00,.00,37.06%,0,0,0.15%,0.00%,.00,-.01,.00,,
,,5,5,+16.33%,.96,.01,145.57%,48.22,+6.85,75.84%,<empty>,.00,-.01,.02,48.16,H,48.30,X,1 DEC 25,632,0,P,.01,I,0,533,0.00%,.00,.00,36.11%,0,0,0.15%,0.00%,.00,-.01,.00,,
,,0,8,0.00%,1.00,.00,--,47.22,0,100.00%,<empty>,.00,.00,.00,47.11,I,47.26,E,1 DEC 25,633,0,Q,.01,I,0,349,0.00%,.00,.00,35.16%,0,0,0.15%,0.00%,.00,-.01,.00,,
,,<empty>,4,<empty>,1.00,.00,--,46.22,0,100.00%,<empty>,.00,.00,.00,46.07,C,46.35,C,1 DEC 25,634,0,X,.01,I,0,199,0.00%,.00,.00,34.22%,0,0,0.16%,0.00%,.00,-.01,.00,,
,,0,8,0.00%,.96,.01,139.23%,45.22,0,74.86%,<empty>,.00,-.02,.02,45.18,E,45.29,C,1 DEC 25,635,0,Q,.01,M,0,"1,000",0.00%,.00,.00,33.27%,0,0,0.16%,0.00%,.00,-.01,.00,,
,,<empty>,9,<empty>,.96,.01,136.46%,44.22,0,74.62%,<empty>,.00,-.01,.02,44.13,S,44.32,C,1 DEC 25,636,0,X,.01,M,0,"2,203",0.00%,.00,.00,32.32%,0,0,0.17%,0.00%,.00,-.01,.00,,
,,<empty>,4,<empty>,1.00,.00,--,43.22,0,100.00%,<empty>,.00,.00,.00,43.18,M,43.23,E,1 DEC 25,637,0,X,.01,I,0,"1,064",0.00%,.00,.00,31.37%,0,0,0.17%,0.00%,.00,-.01,.00,,
,,<empty>,0,<empty>,1.00,.00,--,42.22,0,100.00%,<empty>,.00,.00,.00,42.07,C,42.34,C,1 DEC 25,638,0,A,.01,I,0,669,0.00%,.00,.00,30.42%,0,0,0.17%,0.00%,.00,-.01,.00,,
,,0,50,0.00%,.94,.01,133.50%,41.22,0,72.91%,<empty>,.00,-.10,.03,41.09,C,41.54,E,1 DEC 25,639,0,Q,.01,M,0,"1,013",0.00%,.00,.00,29.47%,0,0,0.18%,0.00%,.00,-.01,.00,,
,,0,25,0.00%,.96,.01,127.92%,40.22,0,73.10%,<empty>,.00,-.02,.02,40.18,E,40.29,M,1 DEC 25,640,0,X,.01,X,2,"5,621",-66.67%,.00,.00,28.51%,0,-.02,0.18%,0.00%,.00,-.01,.00,,
,,0,24,0.00%,.96,.01,125.36%,39.22,0,72.76%,<empty>,.00,-.01,.02,39.12,E,39.34,E,1 DEC 25,641,0,Q,.01,W,0,568,0.00%,.00,.00,27.56%,0,0,0.19%,0.00%,.00,-.01,.00,,
,,<empty>,11,<empty>,1.00,.00,--,38.22,0,100.00%,<empty>,.00,.00,.00,38.20,D,38.21,I,1 DEC 25,642,0,A,.01,X,0,500,0.00%,.00,.00,26.60%,0,0,0.20%,0.00%,.00,-.01,.00,,
,,<empty>,59,<empty>,1.00,.00,--,37.22,0,100.00%,<empty>,.00,.00,.00,37.06,E,37.34,E,1 DEC 25,643,0,U,.01,X,0,435,0.00%,.00,.00,25.65%,0,0,0.20%,0.00%,.00,-.01,.00,,
,,0,39,0.00%,1.00,.00,--,36.22,0,100.00%,<empty>,.00,.00,.00,36.06,E,36.34,C,1 DEC 25,644,0,U,.01,W,0,"3,091",0.00%,.00,.00,24.69%,0,0,0.21%,0.00%,.00,-.01,.00,,
,,0,124,0.00%,.95,.02,116.50%,35.22,0,70.96%,<empty>,.00,-.02,.02,35.23,E,35.25,C,1 DEC 25,645,0,E,.01,W,87,"11,933",-50.00%,.00,.00,23.73%,0,-.01,0.22%,0.00%,.00,-.01,.00,,
,,0,111,0.00%,.96,.02,113.31%,34.22,0,70.64%,<empty>,.00,.00,.02,34.20,D,34.25,C,1 DEC 25,646,0,Q,.01,W,28,"3,254",0.00%,.00,.00,22.77%,0,0,0.23%,0.00%,.00,-.01,.00,,
,,0,109,0.00%,.96,.02,111.18%,33.22,0,70.10%,<empty>,.00,-.01,.02,33.21,E,33.25,C,1 DEC 25,647,0,A,.01,X,35,984,0.00%,.00,.00,21.81%,0,0,0.23%,0.00%,.00,-.01,.00,,
,,<empty>,108,<empty>,.95,.02,110.21%,32.22,0,69.33%,<empty>,.00,-.04,.02,32.23,E,32.29,C,1 DEC 25,648,0,P,.01,X,1,733,-66.67%,.00,.00,20.84%,0,-.02,0.24%,0.00%,.00,-.01,.00,,
,,0,392,0.00%,.95,.02,107.10%,31.22,0,68.91%,<empty>,.00,-.03,.02,31.23,I,31.26,C,1 DEC 25,649,0,N,.01,X,0,"1,721",0.00%,.00,.00,19.88%,0,0,0.25%,0.00%,.00,-.01,.00,,
,,0,450,0.00%,1.00,.00,--,30.22,0,100.00%,<empty>,.00,.00,.00,30.08,E,30.26,M,1 DEC 25,650,.01,N,.01,X,5,"2,986",0.00%,.00,.00,20.35%,0,0,0.48%,0.00%,.00,-.01,.00,,
,,<empty>,346,<empty>,.96,.02,101.69%,29.22,0,67.85%,<empty>,.00,-.02,.02,29.10,C,29.37,C,1 DEC 25,651,.01,X,.01,X,0,965,0.00%,.00,.00,19.32%,0,0,0.50%,0.00%,.00,-.01,.00,,
,,0,293,0.00%,1.00,.00,--,28.22,0,100.00%,<empty>,.00,.00,.00,28.12,H,28.30,E,1 DEC 25,652,0,P,.01,W,8,650,-50.00%,.00,.00,16.96%,0,-.01,0.29%,0.00%,.00,-.01,.00,,
,,0,354,0.00%,1.00,.00,--,27.22,0,100.00%,<empty>,.00,.00,.00,27.08,C,27.30,E,1 DEC 25,653,.01,N,.02,E,12,"3,669",-50.00%,-.01,.00,18.01%,0,-.01,0.76%,0.00%,.00,-.02,.01,,
,,0,499,0.00%,1.00,.00,--,26.22,0,100.00%,<empty>,.00,.00,.00,26.08,E,26.35,C,1 DEC 25,654,.01,N,.02,E,0,"1,913",0.00%,-.01,.00,16.93%,0,0,0.80%,0.00%,.00,-.02,.01,,
,,1,632,+23.77%,1.00,.00,--,25.22,+4.96,100.00%,<empty>,.00,.00,.00,25.07,E,25.21,C,1 DEC 25,655,.01,P,.02,E,7,"1,990",-75.00%,-.01,.00,15.83%,0,-.03,0.85%,0.00%,.00,-.02,.01,,
,,0,241,0.00%,.95,.03,90.08%,24.22,0,64.22%,<empty>,.00,-.04,.02,24.15,D,24.36,E,1 DEC 25,656,.01,I,.02,E,3,"2,852",-33.33%,-.01,.00,14.74%,0,-.01,0.90%,0.00%,.00,-.02,.01,,
,,0,643,0.00%,.93,.03,89.14%,23.22,0,63.13%,<empty>,.00,-.08,.03,23.21,X,23.38,E,1 DEC 25,657,.01,I,.02,E,95,"1,181",-66.67%,-.01,.01,13.63%,0,-.02,0.97%,0.00%,.00,-.02,.01,,
,,0,293,0.00%,1.00,.00,--,22.22,0,100.00%,<empty>,.00,.00,.00,22.08,E,22.26,M,1 DEC 25,658,.01,H,.02,E,0,743,0.00%,-.01,.01,12.47%,0,0,1.02%,0.00%,.00,-.01,.01,,
,,0,473,0.00%,1.00,.00,--,21.22,0,100.00%,<empty>,.00,.00,.00,21.08,C,21.22,C,1 DEC 25,659,.01,H,.02,W,0,915,0.00%,-.01,.01,11.36%,0,0,1.11%,0.00%,.00,-.01,.01,,
,,0,"1,294",0.00%,1.00,.00,--,20.22,0,100.00%,<empty>,.00,.00,.00,20.08,E,20.18,E,1 DEC 25,660,.01,W,.02,W,66,"4,260",-50.00%,-.01,.01,10.24%,0,-.02,1.23%,0.00%,.00,-.01,.01,,
,,0,587,0.00%,1.00,.00,--,19.22,0,100.00%,<empty>,.00,.00,.00,19.22,H,19.21,Q,1 DEC 25,661,.01,W,.02,W,2,"1,424",-75.00%,-.01,.01,9.10%,0,-.03,1.37%,0.00%,.00,-.01,.01,,
,,0,"1,770",0.00%,1.00,.00,--,18.22,0,100.00%,<empty>,.00,.00,.00,18.09,E,18.28,X,1 DEC 25,662,.01,W,.02,W,2,"2,602",-50.00%,-.02,.01,7.95%,0,-.02,1.55%,0.00%,.00,-.01,.01,,
,,1,"3,002",-12.79%,1.00,.00,--,17.22,-2.44,100.00%,<empty>,.00,.00,.00,17.08,T,17.21,E,1 DEC 25,663,.02,W,.03,W,7,"1,439",-50.00%,-.03,.02,7.33%,0,-.02,2.64%,0.00%,.00,-.03,.02,,
,,0,"1,742",0.00%,1.00,.00,--,16.22,0,100.00%,<empty>,.00,.00,.00,16.09,C,16.29,I,1 DEC 25,664,.02,W,.03,N,18,"1,688",0.00%,-.03,.03,6.03%,0,0,3.08%,0.00%,.00,-.02,.02,,
,,0,"3,347",0.00%,1.00,.00,--,15.22,0,100.00%,<empty>,.00,.00,.00,15.10,E,15.17,T,1 DEC 25,665,.02,W,.03,W,40,"6,182",-40.00%,-.04,.05,4.73%,0,-.02,3.86%,0.00%,.00,-.03,.03,,
,,0,"1,880",0.00%,.95,.05,62.84%,14.22,0,52.80%,<empty>,.00,-.02,.02,14.19,I,14.29,S,1 DEC 25,666,.03,W,.04,N,212,"1,775",-50.00%,-.06,.10,3.59%,0,-.03,6.55%,0.01%,.00,-.04,.04,,
,,0,927,0.00%,.94,.05,60.85%,13.22,0,51.02%,<empty>,.00,-.04,.02,13.16,S,13.35,C,1 DEC 25,667,.03,N,.04,W,102,"1,978",-40.00%,-.10,.26,2.01%,0,-.02,10.64%,0.01%,.00,-.04,.06,,
,,0,"1,623",0.00%,.91,.05,59.17%,12.22,0,49.12%,<empty>,.00,-.07,.03,12.23,S,12.34,B,1 DEC 25,668,.04,N,.05,D,253,"3,151",-37.50%,.00,.00,0.19%,0,-.03,98.31%,0.01%,.00,.00,-10.00,,
,,0,"1,255",0.00%,.94,.06,55.00%,11.22,0,47.03%,<empty>,.00,-.03,.02,11.16,B,11.34,B,1 DEC 25,669,.06,W,.07,Z,513,"1,870",-25.00%,-.98,.00,0.19%,0,-.02,100.00%,0.01%,-.02,-1.14,.00,,
,,12,"2,294",-12.16%,1.00,.00,--,10.22,-1.54,0.00%,<empty>,.00,.00,.00,10.18,S,10.24,S,1 DEC 25,670,.08,U,.09,N,146,"9,813",-11.11%,-.98,.00,0.19%,0,-.01,100.00%,0.01%,-.02,-2.14,.00,,
,,1,"1,186",-28.66%,.86,.07,52.01%,9.22,-3.39,42.50%,<empty>,.00,-.13,.04,9.31,N,9.39,S,1 DEC 25,671,.10,W,.11,N,92,"1,874",-9.09%,.00,.00,0.20%,0,-.01,100.00%,0.02%,.00,.00,-10.00,,
,,4,"1,658",-22.82%,.86,.08,48.76%,8.22,-2.64,39.76%,<empty>,.00,-.13,.05,8.32,I,8.37,B,1 DEC 25,672,.13,U,.14,W,126,"4,214",+7.69%,.00,.00,0.19%,0,+.01,100.00%,0.02%,.00,.00,-10.00,,
,,47,797,-27.78%,.82,.08,46.80%,7.22,-2.97,37.03%,<empty>,.00,-.19,.05,7.38,X,7.44,S,1 DEC 25,673,.17,W,.18,C,320,"4,419",+20.00%,-.98,.00,0.19%,0,+.03,100.00%,0.03%,-.02,-5.14,.00,,
,,3,"1,286",-33.84%,.79,.09,44.00%,6.22,-3.11,33.85%,<empty>,.00,-.22,.06,6.42,N,6.47,M,1 DEC 25,674,.22,W,.23,W,431,"4,582",+26.32%,-.98,.00,0.20%,0,+.05,100.00%,0.03%,-.02,-6.14,.00,,
,,57,"3,117",-21.97%,.75,.09,41.56%,5.22,-1.83,30.53%,<empty>,.00,-.30,.07,5.51,P,5.53,T,1 DEC 25,675,.29,C,.30,D,"1,151","12,534",+36.36%,-.98,.00,0.19%,0,+.08,100.00%,0.04%,-.02,-7.14,.00,,
,,89,"2,057",-31.75%,.70,.10,39.10%,4.22,-2.28,26.97%,<empty>,.00,-.40,.08,4.61,N,4.63,B,1 DEC 25,676,.39,W,.40,W,"1,217","3,547",+46.43%,-.98,.00,0.19%,0,+.13,100.00%,0.06%,-.02,-8.14,.00,,
,,157,"2,581",-20.41%,.64,.10,36.50%,3.22,-1.19,23.12%,<empty>,.00,-.52,.08,3.72,C,3.77,C,1 DEC 25,677,.53,U,.54,I,"1,658","7,672",+57.14%,-.98,.00,0.19%,0,+.20,100.00%,0.08%,-.02,-9.14,.00,,
,,469,"1,751",-36.51%,.57,.10,34.17%,2.22,-1.99,19.27%,<empty>,.00,-.72,.09,2.93,E,2.95,Q,1 DEC 25,678,.72,U,.73,W,"2,216","6,716",+74.42%,.00,.00,0.19%,0,+.32,100.00%,0.11%,.00,.00,-10.00,,
,,663,"2,338",-52.54%,.49,.10,31.82%,1.22,-2.48,15.36%,<empty>,.00,-.98,.09,2.19,D,2.21,U,1 DEC 25,679,.99,N,1.00,I,"2,541","4,295",+78.95%,-.98,.00,0.20%,0,+.45,100.00%,0.15%,-.02,-11.14,.00,,
,,"2,851","4,594",-59.54%,.40,.09,29.70%,.22,-2.31,11.72%,<empty>,.00,-1.35,.09,1.56,U,1.57,N,1 DEC 25,680,1.34,N,1.36,C,"2,756","12,613",+93.06%,-.98,.00,0.19%,0,+.67,100.00%,0.20%,-.02,-12.14,.00,,
,,"3,820","5,448",-66.23%,.30,.08,27.63%,0,-2.00,8.37%,<empty>,.00,-1.04,.09,1.03,I,1.04,W,1 DEC 25,681,1.81,I,1.84,U,"2,127","10,303",+100.00%,-1.00,.00,0.20%,.78,+.94,100.00%,0.27%,.00,.00,-17.80,,
,,"4,725","4,772",-72.96%,.21,.07,25.92%,0,-1.70,5.69%,<empty>,.00,-.65,.07,.64,W,.65,W,1 DEC 25,682,2.41,B,2.45,Z,518,"10,062",+98.39%,-1.00,.00,0.20%,1.78,+1.22,100.00%,0.36%,.00,.00,-27.80,,
,,"4,837","6,358",-79.55%,.14,.05,24.28%,0,-1.40,3.56%,<empty>,.00,-.36,.06,.36,W,.37,U,1 DEC 25,683,3.14,P,3.15,U,134,"8,074",+85.45%,-.98,.00,0.19%,2.78,+1.41,100.00%,0.46%,-.02,-12.36,.00,,
,,"2,747","6,499",-84.80%,.08,.03,23.02%,0,-1.06,2.13%,<empty>,.00,-.20,.04,.19,W,.20,W,1 DEC 25,684,3.96,S,3.99,D,83,"1,985",+92.86%,-1.00,.00,0.19%,3.78,+1.95,100.00%,0.58%,.00,.00,-47.80,,
,,"2,698","9,510",-88.10%,.05,.02,22.23%,0,-.74,1.30%,<empty>,.00,-.11,.03,.10,I,.11,N,1 DEC 25,685,4.81,N,4.92,B,100,"2,559",+76.73%,-1.00,.00,0.19%,4.78,+2.11,100.00%,0.72%,.00,.00,-57.80,,
,,"1,251","6,942",-90.74%,.03,.01,21.62%,0,-.49,0.78%,<empty>,.00,-.05,.02,.05,W,.06,N,1 DEC 25,686,5.80,S,5.87,B,36,359,+52.60%,-.98,.00,0.19%,5.78,+1.82,100.00%,0.86%,-.02,-12.36,.00,,
,,"1,580","5,173",-91.18%,.02,.01,21.67%,0,-.31,0.55%,<empty>,.00,-.03,.01,.03,W,.04,W,1 DEC 25,687,6.80,S,6.94,B,1,451,+44.70%,-.98,.00,0.19%,6.78,+1.94,100.00%,1.01%,-.02,-12.36,.00,,
,,609,"8,484",-90.00%,.01,.01,22.01%,0,-.18,0.42%,<empty>,.00,-.02,.01,.02,W,.03,W,1 DEC 25,688,7.76,Q,7.93,N,1,172,+38.38%,-1.00,.00,0.20%,7.78,+1.90,100.00%,1.15%,.00,.00,-87.80,,
,,34,"11,778",-83.33%,.01,.00,21.98%,0,-.10,0.28%,<empty>,.00,-.02,.01,.01,W,.02,W,1 DEC 25,689,8.75,S,8.83,B,0,120,0.00%,-1.00,.00,0.19%,8.78,0,100.00%,1.29%,.00,.00,-97.80,,
,,88,"12,465",-87.50%,.01,.00,23.09%,0,-.07,0.29%,<empty>,.00,-.02,.01,.01,N,.02,E,1 DEC 25,690,9.78,Q,9.82,B,0,146,0.00%,-1.00,.00,0.19%,9.78,0,100.00%,1.44%,.00,.00,-107.80,,
,,15,"3,252",-80.00%,.00,.00,21.75%,0,-.04,0.11%,<empty>,.00,.00,.00,0,S,.01,N,1 DEC 25,691,10.74,E,10.83,E,0,35,0.00%,-.98,.00,0.19%,10.78,0,100.00%,1.59%,-.02,-12.36,.00,,
,,2,"3,347",-75.00%,.00,.00,22.72%,0,-.03,0.11%,<empty>,.00,.00,.00,0,S,.01,N,1 DEC 25,692,11.72,B,11.93,E,<empty>,1,<empty>,-.98,.00,0.20%,11.78,0,100.00%,1.74%,-.02,-12.36,.00,,
,,6,"2,263",-66.67%,.00,.00,23.68%,0,-.02,0.12%,<empty>,.00,.00,.00,0,I,.01,X,1 DEC 25,693,12.72,E,12.94,E,1,1,<empty>,-.98,.00,0.19%,12.78,<empty>,100.00%,1.89%,-.02,-12.36,.00,,
,,2,901,-50.00%,.00,.00,24.63%,0,-.01,0.12%,<empty>,.00,.00,.00,0,S,.01,X,1 DEC 25,694,13.72,E,13.80,E,<empty>,1,<empty>,-1.00,.00,--,13.78,0,100.00%,2.02%,.00,.00,.00,,
,,0,"4,957",0.00%,.00,.00,25.57%,0,0,0.12%,<empty>,.00,.00,.00,0,A,.01,X,1 DEC 25,695,14.74,T,14.81,E,0,4,0.00%,-1.00,.00,--,14.78,0,100.00%,2.17%,.00,.00,.00,,
,,0,"2,374",0.00%,.00,.00,26.51%,0,0,0.12%,<empty>,.00,.00,.00,0,A,.01,C,1 DEC 25,696,15.65,H,15.94,E,<empty>,0,<empty>,-1.00,.00,0.20%,15.78,0,100.00%,2.32%,.00,.00,-167.80,,
,,0,"1,309",0.00%,.00,.00,27.43%,0,0,0.12%,<empty>,.00,.00,.00,0,N,.01,X,1 DEC 25,697,16.67,T,16.78,X,<empty>,0,<empty>,-1.00,.00,--,16.78,0,100.00%,2.46%,.00,.00,.00,,
,,0,861,0.00%,.00,.00,28.35%,0,0,0.12%,<empty>,.00,.00,.00,0,I,.01,X,1 DEC 25,698,17.64,H,17.82,I,<empty>,1,<empty>,-1.00,.00,--,17.78,0,100.00%,2.61%,.00,.00,.00,,
